ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.0006483080289196887,0.000648308002196046,0.0006483080556433314
1,0,0.0006468342672951579,0.0006468342404751737,0.0006468342941151421
2,0,0.0006442442648373113,0.000644244238548743,0.0006442442911258797
3,0,0.000634518434285721,0.0006345184080136236,0.0006345184605578185
4,0,0.0006353685610012107,0.0006353685350130264,0.0006353685869893951
5,0,0.0006212652622793895,0.0006212652275409757,0.0006212652970178032
6,0,0.00064670748303599,0.0006467074544352281,0.0006467075116367518
7,0,0.0006380252418330841,0.0006380252175188309,0.0006380252661473373
8,0,0.0006487246007055513,0.0006487245747994344,0.0006487246266116682
9,0,0.0006390239082683974,0.0006390238823306773,0.0006390239342061175
10,0,0.0006363673786302874,0.0006363673528740879,0.0006363674043864868
11,0,0.0006313045104651671,0.0006313044845292826,0.0006313045364010515
12,0,0.0006346498093105103,0.0006346497832036103,0.0006346498354174102
13,0,0.0006357584696039033,0.000635758441896043,0.0006357584973117636
14,0,0.0006463424956566988,0.0006463424678866707,0.0006463425234267269
15,0,0.0006451566482797639,0.0006451566215774161,0.0006451566749821117
